participant;percentage;time;pos_x_right;pos_y_right;dil_right;pos_x_left;pos_y_left;dil_left;brightness;fov;trial;;
Marion;30;3.86;0.007396519;0.1382852;5.694855;0.07570338;0.05925727;5.355148;1;-1;1;;
Marion;30;3.88;-0.008384109;-0.0388191;5.378769;0.07433927;0.05981296;5.412018;1;-1;1;;
Marion;30;3.9;-0.009575993;-0.0400525;5.35733;0.04057908;-0.04840302;5.238312;1;-1;1;;
Marion;30;3.92;-0.03483492;0.1823366;5.734344;0.04876184;-0.02381793;5.256546;1;-1;1;;
Marion;30;3.94;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.96;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.98;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;4;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;4.02;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;4.04;1;-0.1015625;-1;1;-0.1015625;-1;1;-1;1;;
Marion;30;4.06;-0.02292204;0.2727829;6.359619;0.07581604;0.04107845;5.093353;1;-1;1;;
Marion;30;4.08;-0.05606103;0.2326514;6.326599;0.06185859;0.03187996;5.042648;1;-1;1;;
Marion;30;4.1;-0.001888156;-0.05175897;5.482254;0.07591522;0.04418248;5.323318;1;-1;1;;
Marion;30;4.12;0.01763928;0.08761275;5.811111;0.07291633;0.03907776;5.277863;1;-1;1;;
Marion;30;4.14;-0.006102681;-0.03483367;5.437363;0.0616712;-0.01565194;5.315018;1;-1;1;;
Marion;30;4.16;0.008441925;0.145795;5.912476;0.06219828;-0.01685986;5.277039;1;-1;1;;
Marion;30;4.18;-0.007539541;-0.0349443;5.341156;0.06286037;-0.01558882;5.272308;1;-1;1;;
Marion;30;4.2;0.01182961;0.1537119;6.007782;0.06318831;-0.01712748;5.42955;1;-1;1;;
Marion;30;4.22;-0.01180512;-0.02713963;5.48468;0.0613336;-0.01417497;5.386856;1;-1;1;;
